title,author,rating,isbn,date read,bookshelves
A Wild Sheep Chase,Haruki Murakami,5,9780375718946,2024/08/27,"asian-lit, favorites"
Troubling Love,Elena Ferrante,4,9781933372167,2024/08/18,
Whereabouts,Jhumpa Lahiri,4,9780593318317,2024/08/15,
The Left Hand of Darkness,Ursula K. Le Guin,5,9780060125745,2024/08/07,"speculative-fiction, favorites"
Dear America: Notes of an Undocumented Citizen,Jose Antonio Vargas,4,9780062851345,2024/07/30,"asian-lit, memoirs"
Intimations,Zadie Smith,4,9780593297612,2024/07/27,black-authors
Transcendent Kingdom,Yaa Gyasi,3,9780593215333,2024/07/26,black-authors
I Who Have Never Known Men,Jacqueline Harpman,5,9781529111798,2024/07/05,"speculative-fiction, favorites"
Outline,Rachel Cusk,4,9781250081544,2024/07/03,
A Little Life,Hanya Yanagihara,5,9780804172707,2024/06/25,"favorites, lgbtq"
Verity,Colleen Hoover,2,9781538742112,2024/06/03,
Someone Who Will Love You in All Your Damaged Glory: Stories,Raphael Bob-Waksberg,3,9780525432722,2024/05/31,short-stories
Parable of the Sower,Octavia E. Butler,3,9781538732182,2024/05/24,"black-authors, california, speculative-fiction"
The Invention of Nature: Alexander von Humboldt's New World,Andrea Wulf,3,9780385350662,2024/05/11,environment
The Sirens of Titan,Kurt Vonnegut Jr.,4,9780307423375,2024/05/05,speculative-fiction
Wind/Pinball: Two Novels,Haruki Murakami,3,9780385352123,2024/04/24,asian-lit
Eating Animals,Jonathan Safran Foer,5,9780316069885,2024/04/17,"animals, environment"
The Hemingway Stories,Ernest Hemingway,2,9781982179465,2024/04/10,short-stories
The Days of Abandonment,Elena Ferrante,5,9781933372006,2024/04/02,
The Song of Achilles,Madeline Miller,5,9781408891384,2024/03/29,lgbtq
My Year of Meats,Ruth Ozeki,5,9780670879045,2024/03/16,"favorites, asian-lit, animals"
Beloved,Toni Morrison,5,8422627000,2024/03/03,black-authors
On Beauty,Zadie Smith,5,9780143037743,2024/02/21,"black-authors, favorites"
The Secret History,Donna Tartt,5,9781400031702,2024/02/11,favorites
The Virgin Suicides,Jeffrey Eugenides,3,9780312428815,2024/02/03,
"God, Human, Animal, Machine: Technology, Metaphor, and the Search for Meaning",Meghan O'Gieblyn,5,9780525562719,2024/01/29,tech
The Invisible Life of Addie LaRue,Victoria Schwab,3,9780765387561,2024/01/23,
Call Me by Your Name,André Aciman,4,9781250169440,2024/01/13,lgbtq
"Beautiful World, Where Are You",Sally Rooney,5,9780374602604,2024/01/07,
"Hapworth 16, 1924",J.D. Salinger,3,0914061658,2023/12/31,
Convenience Store Woman,Sayaka Murata,2,9780802129628,2023/12/27,asian-lit
Glitch Feminism: A Manifesto,Legacy Russell,3,9781786632661,2023/12/22,"black-authors, tech"
Leaving the Atocha Station,Ben Lerner,5,9781566892742,2023/12/18,
The Buddha in the Attic,Julie Otsuka,4,9780307700001,2023/12/14,"asian-lit, california"
City of Illusions,Ursula K. Le Guin,5,0586037551,2023/12/11,speculative-fiction
Yellowface,R.F. Kuang,4,9780063250833,2023/11/30,asian-lit
Interpreter of Maladies,Jhumpa Lahiri,5,9780618101368,2023/11/23,"asian-lit, short-stories"
The Sound of a Wild Snail Eating,Elisabeth Tova Bailey,3,9781565126060,2023/11/22,environment
Playing in the Dark: Whiteness and the Literary Imagination,Toni Morrison,4,9780674673779,2023/11/15,black-authors
The Underground Railroad,Colson Whitehead,2,9780385542364,2023/11/06,black-authors
Planet of Exile,Ursula K. Le Guin,4,9781574535778,2023/10/06,speculative-fiction
Rocannon's World,Ursula K. Le Guin,5,9780441732944,2023/10/04,speculative-fiction
The Girls,Emma Cline,2,9780812998603,2023/09/17,california
Time Is a Mother,Ocean Vuong,3,9780593300237,2023/08/03,poetry
Crying in H Mart,Michelle Zauner,5,9780525657743,2023/07/18,"asian-lit, memoirs"
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,4,9781419729072,2023/07/11,tech
Open Water,Caleb Azumah Nelson,5,9780241448779,2023/06/26,black-authors
Interpretive Work,Elizabeth Bradfield,3,9780980040715,2023/06/16,poetry
Her Body and Other Parties: Stories,Carmen Maria Machado,5,9781555977887,2023/06/14,short-stories
Rubyfruit Jungle,Rita Mae Brown,4,9780553146967,2023/05/31,lgbtq
Cultish: The Language of Fanaticism,Amanda Montell,2,9780062993151,2023/05/24,
Uncanny Valley,Anna Wiener,5,9780374278014,2023/05/12,"tech, memoirs, california"
Ghost Wall,Sarah Moss,4,9780374161927,2023/04/29,
Bluets,Maggie Nelson,4,9781933517407,2023/04/26,poetry
White Teeth,Zadie Smith,5,9780375703867,2023/04/15,"black-authors, favorites"
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,4,9780593321218,2023/03/13,
The Lying Life of Adults,Elena Ferrante,5,9781609455910,2023/02/26,favorites
Dress Your Family in Corduroy and Denim,David Sedaris,3,9780965904834,2023/02/02,"short-stories, memoirs"
How the Garcia Girls Lost Their Accents,Julia Alvarez,3,9780945575573,2023/01/31,latinx-lit
Fake Accounts,Lauren Oyler,3,9781948226929,2022/11/30,
Here They Come,Yannick Murphy,3,9780802143198,2022/10/22,
A Tale for the Time Being,Ruth Ozeki,5,9781470879082,2022/09/23,"asian-lit, favorites"
The Year of Magical Thinking,Joan Didion,2,9781400078431,2022/09/03,memoirs
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,5,9781501139246,2022/08/28,
Quiet As They Come,Angie Chau,4,9781935439189,2022/08/21,"asian-lit, short-stories, california"
Purple Hibiscus,Chimamanda Ngozi Adichie,5,9781400076949,2022/08/04,"african-lit, black-authors"
"South of the Border, West of the Sun",Haruki Murakami,4,9780679767398,2022/08/01,asian-lit
On the Origin of Species and Other Stories,Kim Bo-young,5,9781885030719,2022/07/29,"asian-lit, short-stories, speculative-fiction, favorites"
Middlesex,Jeffrey Eugenides,5,9780312422158,2022/07/26,"lgbtq, favorites"
Grapefruit: A Book of Instructions and Drawings,Yoko Ono,4,9780743201100,2022/07/26,poetry
Olga Dies Dreaming,Xóchitl González,4,9781250786173,2022/07/03,latinx-lit
Kitchen,Banana Yoshimoto,4,9780802142443,2022/06/17,asian-lit
A Psalm for the Wild-Built,Becky Chambers,4,9781250236227,2022/04/24,speculative-fiction
Vox,Nicholson Baker,3,0679742115,2022/04/06,
Disgrace,J.M. Coetzee,3,0670887315,2022/03/31,african-lit
Klara and the Sun,Kazuo Ishiguro,4,9780593318171,2022/03/26,speculative-fiction
Sea Ranch...Diary of an Idea,Lawrence Halprin,3,9781888931235,2022/03/09,"environment, california"
Emissary's Guide To Worlding,Ian Cheng,4,9783960982760,2022/03/07,"speculative-fiction, tech"
The Truth About Stories: A Native Narrative,Thomas King,5,0887846963,2022/03/02,indigenous
Self-Devouring Growth: A Planetary Parable as Told from Southern Africa,Julie Livingston,4,9781478006398,2022/02/28,environment
Tell the Machine Goodnight,Katie Williams,3,9780525533139,2022/02/22,speculative-fiction
Frankissstein: A Love Story,Jeanette Winterson,2,9781787331402,2022/02/15,speculative-fiction
"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,5,9781501160349,2022/01/31,"environment, favorites"
The Vegetarian,Han Kang,4,9780553448184,2022/01/23,"asian-lit, animals"
"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",J.D. Salinger,5,9780316766944,2022/01/16,
A Poem Traveled Down My Arm: Poems and Drawings,Alice Walker,4,9781400061631,2022/01/16,"black-authors, poetry"
Nine Stories,J.D. Salinger,5,0553242180,2022/01/13,"favorites, short-stories"
Under That Silky Roof,Elizabeth Robinson,2,9781886224711,2022/01/03,poetry
"Eleanor, or, The Rejection of the Progress of Love",Anna Moschovakis,3,9781566895088,2022/01/02,
The Book Thief,Markus Zusak,5,9780786290215,2021/12/30,
Citizen: An American Lyric,Claudia Rankine,4,9781555976903,2021/12/27,black-authors
The Vanishing Half,Brit Bennett,5,9780525536291,2021/12/23,black-authors
trans girl suicide museum,Hannah Baer,5,9781948434065,2021/12/21,lgbtq
Night Flying Woman: An Ojibway Narrative,Ignatia Broker,5,9780873511674,2021/12/17,indigenous
The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins,Anna Lowenhaupt Tsing,4,9780691162751,2021/12/13,environment
The Fifty Year Sword,Mark Z. Danielewski,3,9780307907721,2021/12/05,
Their Eyes Were Watching God,Zora Neale Hurston,4,9780060916503,2021/12/02,black-authors
Stand Out of Our Light,James  Williams,3,9781108452991,2021/11/23,tech
The Marriage Plot,Jeffrey Eugenides,3,9781250014764,2021/11/12,
Ecowomanism: African American Women and Earth-Honoring Faiths,Melanie L. Harris,4,9781626982017,2021/10/28,"black-authors, environment"
Never Let Me Go,Kazuo Ishiguro,4,9781400078776,2021/10/27,
A Mercy,Toni Morrison,4,9780307264237,2021/10/20,black-authors
Woman Without Umbrella,Victoria Redel,4,9781935536246,2021/10/02,poetry
The Bluest Eye,Toni Morrison,5,9780307278449,2021/09/29,black-authors
Kari,Amruta Patil,3,9782846261722,2021/09/21,lgbtq
How to Make a Plant Love You: Cultivate Green Space in Your Home and Heart,Summer Rayne Oakes,2,9780525540281,2021/09/19,
The Natural Way of Things,Charlotte Wood,5,9781459698765,2021/09/17,speculative-fiction
The Wind-Up Bird Chronicle,Haruki Murakami,4,9780679775430,2021/09/12,asian-lit
Eleanor Oliphant Is Completely Fine,Gail Honeyman,3,9780735220683,2021/09/07,
Not One Day,Anne Garréta,4,9781941920541,2021/08/19,lgbtq
Ariel,Sylvia Plath,4,9780060931728,2021/08/01,poetry
The Stranger,Albert Camus,4,9798731343039,2021/07/29,
Little Weirds,Jenny Slate,4,9780316485340,2021/07/27,
Circe,Madeline Miller,5,9780316556347,2021/07/11,
Water & Power,Steven Dunn,3,9781939460196,2021/07/03,black-authors
Homegoing,Yaa Gyasi,5,9781101971062,2021/06/28,"favorites, black-authors, african-lit"
Three Women,Lisa Taddeo,2,9781451642292,2021/06/09,
What Tech Calls Thinking: An Inquiry into the Intellectual Bedrock of Silicon Valley,Adrian Daub,4,9780374538644,2021/05/22,tech
Slaughterhouse-five,Kurt Vonnegut Jr.,3,9780385333849,2021/05/18,speculative-fiction
The Idiot,Elif Batuman,4,9781594205613,2021/05/12,
Centaur in the Garden,Moacyr Scliar,5,9780886194208,2021/04/30,favorites
Mary Ventura and the Ninth Kingdom: A Story,Sylvia Plath,4,9780062940834,2021/04/05,short-stories
Kafka on the Shore,Haruki Murakami,5,9781784877989,2021/04/04,"favorites, asian-lit"
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,2,9780749313807,2020/12/29,
Franny and Zooey,J.D. Salinger,4,9780316769020,2020/12/20,
Home Body,Rupi Kaur,2,9782378910907,2020/12/18,poetry
Love is Letting Go of Fear,Gerald G. Jampolsky,2,9781587611964,2020/12/14,
To the Lighthouse,Virginia Woolf,4,9780140274165,2020/11/28,
The Ice Palace,Tarjei Vesaas,4,9781557130945,2020/11/09,
The Metamorphosis and Other Stories,Franz Kafka,5,9781593080297,2020/10/13,short-stories
The Vignelli Canon,Massimo Vignelli,4,9783037782255,2020/10/12,tech
Bartleby the Scrivener,Herman Melville,4,9780974607801,2020/10/06,short-stories
Benito Cereno,Herman Melville,3,9781933633053,2020/10/06,short-stories
Manon Lescaut,Antoine François Prévost d'Exiles,2,9780140445596,2020/09/15,
Animal Farm,George Orwell,5,9781943138425,2020/09/08,
After Dark,Haruki Murakami,4,9781407412122,2020/09/07,asian-lit
The Precipice: Existential Risk and the Future of Humanity,Toby Ord,3,9780316484916,2020/08/29,
Devotions: The Selected Poems of Mary Oliver,Mary Oliver,5,9780399563249,2020/08/25,"poetry, favorites"
In the Time of the Butterflies,Julia Alvarez,4,9781565120389,2020/08/22,latinx-lit
Cat's Cradle,Kurt Vonnegut Jr.,5,038533348X,2020/08/11,"favorites, speculative-fiction"
Ghana Must Go,Taiye Selasi,5,9780670065707,2020/08/04,"black-authors, african-lit"
Between the World and Me,Ta-Nehisi Coates,5,9780812993547,2020/07/27,"black-authors, memoirs"
milk and honey,Rupi Kaur,1,9781502784278,2020/07/23,poetry
Conversations with Friends,Sally Rooney,5,9780451499066,2020/07/22,favorites
Are Prisons Obsolete?,Angela Y. Davis,4,9781583225813,2020/07/16,black-authors
The sun and her flowers,Rupi Kaur,3,9781449486792,2020/07/16,poetry
Sula,Toni Morrison,4,1400033438,2020/07/14,black-authors
Norwegian Wood,Haruki Murakami,5,9780375704024,2020/07/11,"favorites, asian-lit"
Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,5,9780525510543,2020/06/30,
On Earth We're Briefly Gorgeous,Ocean Vuong,4,9780525562023,2020/06/27,lgbtq
Little Fires Everywhere,Celeste Ng,5,9780735224292,2020/06/21,
There There,Tommy Orange,5,9780525436140,2020/06/13,"indigenous, california"
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,2,9780062300546,2020/06/07,memoirs
The Bell Jar,Sylvia Plath,5,9780060930189,2020/05/28,
